Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"55,598,902","+346,079","846,902 ",+713,"41,498,298","+30,638","13,253,702","18,018","812,637,279","333,908,317 "
India,"34,860,785","+21,981","481,235 ",+155,"34,266,363","+7,585","113,187","8,944","677,878,255","1,400,309,632 "
Brazil,"22,287,521","+10,282","619,109 ",+85,"21,567,845",,"100,567","8,318","63,776,166","214,821,155 "
UK,"12,937,886","+189,846","148,624 ",+203,"10,314,726","+43,020","2,474,536",868,"404,382,130","68,419,871 "
Russia,"10,499,982","+20,638","308,860 ",+912,"9,463,919","+40,692","727,203","2,300","240,400,000","146,028,164 "
France,"9,972,800","+232,200","123,741 ",+189,"8,091,292","+53,540","1,757,767","3,333","188,795,159","65,489,774 "
Turkey,"9,482,550","+40,786","82,361 ",+163,"9,063,312","+23,968","336,877","1,128","118,693,643","85,697,171 "
Germany,"7,176,448","+33,466","112,756 ",+244,"6,382,900","+50,600","680,792","4,636","89,622,218","84,185,052 "
Spain,"6,294,745",,"89,405 ",,"5,056,955",,"1,148,385","1,803","66,213,858","46,781,896 "
Iran,"6,194,401","+1,703","131,606 ",+34,"6,037,090","+2,269","25,705","2,694","41,982,912","85,601,502 "
Italy,"6,125,683","+144,243","137,402 ",+155,"5,087,297","+22,579","900,984","1,260","140,137,606","60,328,687 "
Argentina,"5,654,408","+47,663","117,169 ",+23,"5,307,059","+12,530","230,180","1,009","28,112,667","45,816,482 "
Colombia,"5,157,440","+10,401","129,942 ",+41,"4,970,713","+2,840","56,785",342,"29,622,573","51,694,504 "
Indonesia,"4,262,720",+180,"144,094 ",+6,"4,114,334",+193,"4,292",,"63,166,543","277,852,017 "
Poland,"4,108,215","+13,613","97,054 ",+638,"3,630,119","+15,829","381,042","1,910","27,197,479","37,784,538 "
Mexico,"3,969,686","+8,024","299,285 ",+153,"3,306,071","+1,297","364,330","4,798","12,358,387","130,959,963 "
Ukraine,"3,667,649","+7,029","95,899 ",+209,"3,468,858","+8,609","102,892",177,"16,786,785","43,340,242 "
South Africa,"3,458,286","+11,754","91,145 ",+84,"3,174,037","+14,894","193,104",546,"21,231,024","60,427,541 "
Netherlands,"3,132,745","+16,706","20,924 ",+32,"2,640,799","+18,475","471,022",490,"21,107,399","17,191,640 "
Philippines,"2,843,979","+2,961","51,504 ",+132,"2,778,242",+481,"14,233",899,"25,217,292","111,763,229 "
Malaysia,"2,758,086","+3,573","31,487 ",+25,"2,685,378","+7,972","41,221",269,"41,151,793","32,986,463 "
Czechia,"2,475,729","+5,749","36,129 ",+28,"2,304,491",+239,"135,109",596,"46,923,659","10,738,729 "
Peru,"2,292,254",,"202,653 ",,N/A,N/A,N/A,905,"21,725,629","33,659,007 "
Thailand,"2,223,435","+3,111","21,698 ",+26,"2,168,494","+3,241","33,243",588,"17,270,775","70,062,221 "
Canada,"2,179,668","+37,358","30,315 ",+35,"1,883,293","+5,048","266,060",455,"52,560,743","38,237,441 "
Iraq,"2,093,740",+304,"24,158 ",+4,"2,064,970",+443,"4,612",78,"16,830,481","41,571,723 "
Belgium,"2,089,657","+13,876","28,308 ",+41,"1,721,202","+14,890","340,147",580,"27,200,334","11,665,137 "
Romania,"1,808,891","+1,668","58,752 ",+37,"1,738,999","+1,456","11,140",399,"17,086,975","19,045,480 "
Chile,"1,806,494","+1,812","39,115 ",+19,"1,725,178","+1,490","42,201",522,"27,362,375","19,361,803 "
Japan,"1,733,325",+490,"18,393 ",,"1,712,019",+191,"2,913",49,"29,340,602","125,896,617 "
Vietnam,"1,731,257","+16,515","32,394 ",+226,"1,355,286","+18,642","343,577","7,291","74,782,912","98,649,397 "
Bangladesh,"1,585,539",+512,"28,072 ",+2,"1,549,101",+290,"8,366","1,349","11,491,488","167,144,908 "
Portugal,"1,389,646","+30,829","18,955 ",+18,"1,191,979","+10,523","178,712",145,"26,481,127","10,152,184 "
Israel,"1,383,939","+3,886","8,243 ",,"1,350,172","+1,142","25,524",92,"37,741,674","9,326,000 "
Sweden,"1,314,784",,"15,271 ",,"1,192,194",,"107,319",106,"14,931,240","10,193,534 "
Switzerland,"1,307,201",,"12,284 ",,"1,004,795",,"290,122",314,"14,211,787","8,749,361 "
Serbia,"1,299,339","+2,192","12,714 ",+26,"1,262,526","+2,068","24,099",83,"7,239,853","8,684,663 "
Pakistan,"1,295,376",+515,"28,927 ",+6,"1,256,337",+406,"10,112",633,"23,372,405","227,305,859 "
Austria,"1,278,619","+3,624","13,733 ",+32,"1,234,709","+2,483","30,177",331,"123,579,209","9,083,327 "
Hungary,"1,256,415","+3,360","39,186 ",+82,"1,111,676","+5,145","105,553",334,"9,152,694","9,623,616 "
Greece,"1,210,853","+40,560","20,790 ",+82,"1,013,362","+2,759","176,701",627,"47,248,945","10,346,803 "
Jordan,"1,063,405","+1,845","12,653 ",+33,"1,018,896","+3,672","31,856",895,"13,548,219","10,354,724 "
Kazakhstan,"987,866",+480,"13,012 ",+7,"960,211",+576,"14,643",528,"11,575,012","19,112,778 "
Cuba,"966,004",+433,"8,322 ",,"956,415",+239,"1,267",11,"11,626,920","11,316,263 "
Morocco,"963,092","+2,034","14,849 ",+5,"940,193",+660,"8,050",103,"10,844,159","37,565,205 "
Georgia,"934,741","+2,100","13,800 ",+42,"895,315","+2,251","25,626",,"12,911,370","3,977,700 "
Slovakia,"841,733","+2,995","16,635 ",+37,"782,065","+4,453","43,033",453,"5,097,439","5,463,602 "
Nepal,"828,431",+224,"11,594 ",+4,"811,958",+212,"4,879",114,"4,859,355","29,920,534 "
Ireland,"788,559","+20,110","5,912 ",,"567,993","+3,790","214,654",88,"9,975,030","5,020,324 "
Denmark,"787,371","+17,605","3,267 ",+11,"597,212","+11,185","186,892",73,"106,990,781","5,822,741 "
UAE,"761,937","+2,426","2,164 ",+2,"745,055",+875,"14,718",,"111,351,511","10,069,209 "
Bulgaria,"747,108","+2,810","30,955 ",+65,"612,395",+566,"103,758",457,"7,450,348","6,870,101 "
Lebanon,"727,930","+4,290","9,119 ",+17,"659,448",,"59,363",186,"4,795,578","6,779,668 "
Tunisia,"726,706",+864,"25,569 ",+5,"696,315",+128,"4,822",70,"3,373,554","12,003,688 "
Croatia,"715,245","+5,567","12,538 ",+45,"675,150","+3,486","27,557",239,"3,757,416","4,067,350 "
Belarus,"699,110","+1,510","5,578 ",+17,"692,282","+1,777","1,250",,"11,043,566","9,444,669 "
S. Korea,"630,838","+4,871","5,563 ",+108,"513,978","+4,021","111,297","1,056","15,804,065","51,335,254 "
Guatemala,"628,359",+797,"16,107 ",+1,"608,562",+115,"3,690",5,"3,279,099","18,411,163 "
Azerbaijan,"616,947",+595,"8,358 ",+12,"599,546",+753,"9,043",,"5,863,885","10,275,958 "
Bolivia,"599,753","+7,980","19,680 ",+30,"526,842","+1,869","53,231",220,"2,633,963","11,911,247 "
Sri Lanka,"587,245",+499,"14,979 ",+17,"560,494",+181,"11,772",,"5,726,599","21,547,668 "
Costa Rica,"570,556",,"7,353 ",,"560,709",,"2,494",45,"2,965,435","5,163,739 "
Saudi Arabia,"556,236",+819,"8,877 ",+2,"541,853",+239,"5,506",54,"33,229,844","35,624,886 "
Ecuador,"549,418","+2,232","33,681 ",+9,"443,880",,"71,857",759,"2,136,008","18,043,819 "
Myanmar,"530,834",+189,"19,268 ",+3,"508,232",+179,"3,334",,"6,040,650","54,955,809 "
Lithuania,"519,597","+1,831","7,387 ",+9,"486,328","+1,720","25,882",103,"6,604,912","2,665,389 "
Panama,"493,707",,"7,427 ",,"475,216",,"11,064",18,"4,488,534","4,416,367 "
Paraguay,"468,025",+903,"16,629 ",+4,"448,066",+101,"3,330",46,"2,037,175","7,263,633 "
Slovenia,"464,048","+1,892","5,589 ",+6,"440,929","+1,275","17,530",180,"2,077,212","2,079,366 "
Venezuela,"444,411",,"5,324 ",,"433,621",,"5,466",681,"3,359,014","28,315,279 "
Palestine,"439,714",+219,"4,665 ",+3,"431,462",+302,"3,587",47,"2,856,092","5,278,671 "
Ethiopia,"420,342","+4,899","6,937 ",+11,"355,046",+551,"58,359",290,"4,112,267","119,219,377 "
Dominican Republic,"418,778","+1,510","4,247 ",+1,"407,939",+156,"6,592",108,"2,575,837","11,010,712 "
Kuwait,"417,135",+504,"2,468 ",,"411,680",+90,"2,987",4,"5,966,736","4,365,052 "
Uruguay,"413,383","+1,725","6,170 ",+1,"398,961",+409,"8,252",26,"4,415,072","3,491,754 "
Australia,"395,570","+32,893","2,241 ",+15,"250,027",,"143,302",128,"54,955,292","25,942,613 "
Norway,"394,259","+3,045","1,305 ",,"88,952",,"304,002",109,"9,341,906","5,484,692 "
Mongolia,"389,361",+272,"2,059 ",+1,"313,256",,"74,046",192,"4,030,048","3,357,256 "
Libya,"388,734",+551,"5,710 ",+14,"376,278",+531,"6,746",132,"2,030,092","7,011,085 "
Egypt,"385,575",+847,"21,752 ",+25,"320,563",+539,"43,260",122,"3,693,367","105,220,663 "
Honduras,"379,542",,"10,434 ",,"124,171",,"244,937",83,"1,139,978","10,140,240 "
Moldova,"376,155",+375,"10,275 ",+6,"362,429",+705,"3,451",118,"2,340,118","4,019,923 "
Armenia,"344,930",+104,"7,972 ",+4,"331,559",+211,"5,399",,"2,568,448","2,971,536 "
Oman,"305,489",,"4,116 ",,"300,381",,992,5,"25,000,000","5,300,709 "
Kenya,"295,028","+2,791","5,378 ",+2,"252,281","+1,058","37,369",41,"3,030,272","55,541,905 "
Bosnia and Herzegovina,"291,313",+842,"13,442 ",+14,"192,218",,"85,653",,"1,483,234","3,250,254 "
Bahrain,"282,062",+656,"1,394 ",,"277,345",+129,"3,323",1,"8,027,797","1,789,881 "
Singapore,"279,405",+344,828 ,+1,"275,709",+352,"2,868",16,"21,098,774","5,919,211 "
Latvia,"276,674","+1,157","4,570 ",+9,"260,546",+923,"11,558",80,"5,608,060","1,854,961 "
Finland,"260,292","+11,334","1,564 ",+10,"46,000",,"212,728",52,"8,667,479","5,553,608 "
Zambia,"254,274","+5,081","3,734 ",+4,"219,794","+3,128","30,746",356,"2,959,116","19,153,152 "
Qatar,"250,528",+741,618 ,+1,"245,530",+182,"4,380",25,"3,174,433","2,807,805 "
Nigeria,"241,513",,"3,030 ",,"214,003",,"24,480",11,"3,823,309","213,775,190 "
Estonia,"241,408","+1,074","1,932 ",+4,"223,681",+630,"15,795",17,"2,522,363","1,327,871 "
North Macedonia,"225,049",+542,"7,960 ",+7,"211,846",+298,"5,243",,"1,597,512","2,083,246 "
Botswana,"219,509",,"2,444 ",,"204,811",,"12,254",1,"2,026,898","2,422,621 "
Algeria,"218,432",+395,"6,276 ",+5,"150,084",+230,"62,072",26,"230,861","45,035,231 "
Zimbabwe,"211,728",,"4,997 ",,"178,332",,"28,399",12,"1,836,542","15,186,601 "
Albania,"210,224",+708,"3,217 ",+2,"200,758",+293,"6,249",23,"1,483,121","2,873,091 "
Uzbekistan,"198,903",+134,"1,485 ",,"196,012",+172,"1,406",23,"1,377,915","34,194,854 "
Mozambique,"189,080","+4,861","2,006 ",+10,"156,570","+2,839","30,504",13,"1,098,922","32,563,685 "
Kyrgyzstan,"184,689",+56,"2,802 ",+2,"179,826",+48,"2,061",131,"1,907,195","6,685,193 "
