Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"55,696,500",,"846,905 ",,"41,502,739",,"13,346,856","18,028","812,744,236","333,908,317 "
India,"34,861,579",,"481,486 ",,"34,275,312","+8,949","104,781","8,944","677,878,255","1,400,309,632 "
Brazil,"22,287,521",,"619,109 ",,"21,567,845",,"100,567","8,318","63,776,166","214,821,155 "
UK,"12,937,886",,"148,624 ",,"10,314,726",,"2,474,536",868,"404,382,130","68,419,871 "
Russia,"10,519,733","+19,751","309,707 ",+847,"9,497,063","+33,144","712,963","2,300","240,400,000","146,028,164 "
France,"9,972,800",,"123,741 ",,"8,091,103",,"1,757,956","3,333","188,795,159","65,489,774 "
Turkey,"9,482,550",,"82,361 ",,"9,063,312",,"336,877","1,128","118,693,643","85,697,171 "
Germany,"7,176,448",,"112,756 ",,"6,418,300","+35,300","645,392","4,636","89,622,218","84,185,052 "
Spain,"6,294,745",,"89,405 ",,"5,056,955",,"1,148,385","1,803","66,213,858","46,781,896 "
Iran,"6,195,403","+1,002","131,639 ",+33,"6,039,171","+2,081","24,593","2,676","41,982,912","85,601,502 "
Italy,"6,125,683",,"137,402 ",,"5,087,297",,"900,984","1,260","140,137,606","60,328,687 "
Argentina,"5,654,408",,"117,169 ",,"5,307,059",,"230,180","1,009","28,112,667","45,816,482 "
Colombia,"5,157,440",,"129,942 ",,"4,970,713",,"56,785",342,"29,622,573","51,694,504 "
Indonesia,"4,262,994",+274,"144,096 ",+2,"4,114,499",+165,"4,399",,"63,343,702","277,852,017 "
Poland,"4,120,248","+12,032","97,559 ",+505,"3,645,692","+15,573","376,997","1,897","27,276,443","37,784,538 "
Mexico,"3,979,723","+10,037","299,428 ",+143,"3,307,821","+1,750","372,474","4,798","12,389,659","130,959,963 "
Ukraine,"3,672,675","+5,026","96,089 ",+190,"3,474,931","+6,073","101,655",177,"16,809,292","43,340,242 "
South Africa,"3,458,286",,"91,145 ",,"3,174,037",,"193,104",546,"21,231,024","60,427,541 "
Netherlands,"3,132,745",,"20,924 ",,"2,640,767",,"471,054",490,"21,107,399","17,191,640 "
Philippines,"2,847,486","+3,617","51,545 ",+43,"2,778,567",+468,"17,374",899,"25,217,292","111,763,229 "
Malaysia,"2,758,086",,"31,487 ",,"2,685,378",,"41,221",269,"41,151,793","32,986,463 "
Czechia,"2,480,736","+4,992","36,182 ",+23,"2,327,342",+290,"117,212",582,"46,970,951","10,738,729 "
Peru,"2,296,831",,"202,690 ",,N/A,N/A,N/A,895,"21,790,289","33,659,007 "
Thailand,"2,226,446","+3,011","21,708 ",+10,"2,171,809","+3,315","32,929",588,"17,270,775","70,062,221 "
Canada,"2,183,527",,"30,319 ",,"1,883,573",,"269,635",455,"52,560,743","38,237,441 "
Belgium,"2,105,343","+15,686","28,331 ",+23,"1,737,727","+16,525","339,285",537,"27,288,173","11,665,137 "
Iraq,"2,093,740",,"24,158 ",,"2,064,970",,"4,612",78,"16,830,481","41,571,723 "
Romania,"1,810,342","+1,451","58,779 ",+26,"1,739,999","+1,000","11,564",395,"17,112,872","19,045,480 "
Chile,"1,806,494",,"39,115 ",,"1,725,159",,"42,220",522,"27,362,375","19,361,803 "
Vietnam,"1,746,092","+14,835","32,610  ",+216,"1,358,276","+2,990","355,206","6,304","74,967,758","98,649,397 "
Japan,"1,733,788",+463,"18,393 ",,"1,712,174",+155,"3,221",51,"29,374,387","125,896,617 "
Bangladesh,"1,585,539",,"28,072 ",,"1,549,101",,"8,366","1,349","11,491,488","167,144,908 "
Portugal,"1,389,646",,"18,955 ",,"1,191,979",,"178,712",145,"26,481,127","10,152,184 "
Israel,"1,383,939",,"8,243 ",,"1,350,172",,"25,524",92,"37,741,674","9,326,000 "
Sweden,"1,314,784",,"15,271 ",,"1,194,618","+2,424","104,895",106,"14,931,240","10,193,534 "
Switzerland,"1,307,201",,"12,284 ",,"1,014,774","+9,979","280,143",314,"14,211,787","8,749,361 "
Serbia,"1,299,339",,"12,714 ",,"1,262,526",,"24,099",83,"7,239,853","8,684,663 "
