Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
Azerbaijan,"617,679",+368,"8,375 ",+10,"601,069",+918,"8,235",,"5,876,764","10,276,207 "
Bolivia,"599,753",,"19,680 ",,"526,842",,"53,231",220,"2,633,963","11,911,682 "
Sri Lanka,"587,935",+339,"15,019 ",+22,"560,949",+224,"11,967",,"5,726,599","21,547,912 "
Costa Rica,"570,556",,"7,353 ",,"560,709",,"2,494",45,"2,965,435","5,163,866 "
Saudi Arabia,"558,106","+1,024","8,879 ",+1,"542,413",+298,"6,814",69,"33,396,224","35,626,369 "
Ecuador,"549,418",,"33,681 ",,"443,880",,"71,857",759,"2,136,008","18,044,551 "
Myanmar,"531,025",+79,"19,274 ",+2,"508,696",+209,"3,055",,"6,055,872","54,956,804 "
Lithuania,"522,884","+1,149","7,420 ",+16,"488,809",+141,"26,655",103,"6,626,009","2,665,286 "
Panama,"497,808",,"7,430 ",,"476,015",,"14,363",35,"4,524,594","4,416,553 "
Paraguay,"468,346",,"16,631 ",,"448,172",,"3,543",46,"2,041,357","7,263,873 "
Slovenia,"466,554",+829,"5,603 ",+3,"442,971",+766,"17,980",173,"2,083,466","2,079,367 "
Australia,"462,934","+32,222","2,259 ",+6,"269,677",,"190,998",148,"55,430,918","25,943,422 "
Venezuela,"444,828",,"5,331 ",,"434,516",,"4,981",681,"3,359,014","28,315,060 "
Palestine,"439,850",,"4,673 ",,"431,776",,"3,401",57,"2,856,092","5,278,996 "
Ethiopia,"424,340",,"6,947 ",,"355,456",,"61,937",337,"4,123,360","119,227,181 "
Dominican Republic,"419,927",,"4,247 ",,"408,444",,"7,236",114,"2,579,438","11,011,009 "
Kuwait,"417,723",,"2,468 ",,"411,788",,"3,467",4,"5,984,074","4,365,225 "
Uruguay,"414,294",,"6,172 ",,"399,344",,"8,778",26,"4,425,017","3,491,787 "
Norway,"396,415",,"1,305 ",,"88,952",,"306,158",109,"9,341,906","5,484,808 "
