Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"55,864,519","+161,398","847,162 ",+257,"41,518,472","+15,733","13,498,885","18,323","813,220,219","333,913,610 "
India,"34,887,983","+26,404","481,519 ",+33,"34,275,312","+8,949","131,152","8,944","677,878,255","1,400,346,673 "
Brazil,"22,291,507","+3,986","619,109 ",,"21,567,845",,"104,553","8,318","63,776,166","214,825,277 "
UK,"13,100,458","+162,572","148,778 ",+154,"10,365,262","+50,536","2,586,418",868,"404,382,130","68,420,844 "
Russia,"10,519,733","+19,751","309,707 ",+847,"9,497,063","+33,144","712,963","2,300","240,400,000","146,028,334 "
France,"10,191,926","+219,126","123,851 ",+110,"8,134,951","+43,659","1,933,124","3,333","188,795,159","65,490,168 "
Turkey,"9,519,281","+36,731","82,506 ",+145,"9,086,637","+23,325","350,138","1,128","119,062,670","85,699,649 "
Germany,"7,196,154","+19,706","112,826 ",+70,"6,418,300","+35,300","665,028","4,636","89,622,218","84,185,782 "
Spain,"6,294,745",,"89,405 ",,"5,056,955",,"1,148,385","1,803","66,213,858","46,781,945 "
Italy,"6,266,939","+141,262","137,513 ",+111,"5,107,729","+20,432","1,021,697","1,297","141,221,901","60,328,445 "
Iran,"6,195,403","+1,002","131,639 ",+33,"6,039,171","+2,081","24,593","2,676","41,982,912","85,604,439 "
Argentina,"5,674,428","+20,020","117,181 ",+12,"5,320,434","+13,375","236,813","1,012","28,175,411","45,817,614 "
Colombia,"5,169,855","+12,415","129,986 ",+44,"4,974,212","+3,499","65,657",342,"29,699,775","51,695,985 "
Indonesia,"4,262,994",+274,"144,096 ",+2,"4,114,499",+165,"4,399",,"63,343,702","277,859,915 "
Poland,"4,120,248","+12,032","97,559 ",+505,"3,645,692","+15,573","376,997","1,897","27,276,443","37,784,425 "
Mexico,"3,979,723","+10,037","299,428 ",+143,"3,307,821","+1,750","372,474","4,798","12,389,659","130,963,662 "
Ukraine,"3,672,675","+5,026","96,089 ",+190,"3,474,931","+6,073","101,655",177,"16,809,292","43,339,527 "
South Africa,"3,468,079","+9,793","91,198 ",+53,"3,182,969","+8,932","193,912",546,"21,267,879","60,429,584 "
Netherlands,"3,148,315","+15,570","20,951 ",+27,"2,663,810","+23,011","463,554",463,"21,107,399","17,191,743 "
Philippines,"2,847,486","+3,617","51,545 ",+43,"2,778,567",+468,"17,374",899,"25,217,292","111,767,214 "
Malaysia,"2,761,472","+3,386","31,513 ",+26,"2,688,925","+3,547","41,034",273,"41,260,279","32,987,596 "
Czechia,"2,480,736","+4,992","36,182 ",+23,"2,327,342",+290,"117,212",582,"46,970,951","10,738,783 "
Peru,"2,296,831",,"202,690 ",,N/A,N/A,N/A,895,"21,790,289","33,660,262 "
Thailand,"2,226,446","+3,011","21,708 ",+10,"2,171,809","+3,315","32,929",588,"17,270,775","70,062,699 "
Canada,"2,219,094","+35,567","30,339 ",+20,"1,888,342","+4,769","300,413",455,"52,560,743","38,238,344 "
Belgium,"2,105,343","+15,686","28,331 ",+23,"1,737,727","+16,525","339,285",537,"27,288,173","11,665,274 "
Iraq,"2,093,891",+151,"24,163 ",+5,"2,065,208",+238,"4,520",77,"16,840,100","41,574,195 "
Romania,"1,810,342","+1,451","58,779 ",+26,"1,739,999","+1,000","11,564",395,"17,112,872","19,045,131 "
Chile,"1,808,398","+1,904","39,140 ",+25,"1,727,378","+2,200","41,880",512,"27,425,464","19,362,250 "
Vietnam,"1,746,092","+14,835","32,610 ",+216,"1,358,276","+2,990","355,206","6,304","74,967,758","98,651,787 "
Japan,"1,733,788",+463,"18,393 ",,"1,712,174",+155,"3,221",51,"29,374,387","125,895,564 "
Bangladesh,"1,585,909",+370,"28,076 ",+4,"1,549,304",+203,"8,529","1,349","11,506,702","167,149,387 "
Portugal,"1,412,936","+23,290","18,976 ",+21,"1,197,737","+5,758","196,223",142,"26,804,825","10,152,103 "
Israel,"1,389,247","+5,308","8,244 ",+1,"1,351,044",+872,"29,959",101,"37,741,674","9,326,000 "
Sweden,"1,314,784",,"15,271 ",,"1,194,618","+2,424","104,895",106,"14,931,240","10,193,706 "
Switzerland,"1,307,201",,"12,284 ",,"1,014,774","+9,979","280,143",314,"14,211,787","8,749,534 "
Serbia,"1,300,949","+1,610","12,739 ",+25,"1,264,047","+1,521","24,163",87,"7,250,349","8,684,567 "
Pakistan,"1,295,933",+557,"28,933 ",+6,"1,256,816",+479,"10,184",629,"23,423,546","227,317,597 "
Austria,"1,282,227","+3,608","13,749 ",+16,"1,237,061","+2,352","31,417",322,"123,907,877","9,083,468 "
Hungary,"1,256,415",,"39,186 ",,"1,111,676",,"105,553",334,"9,152,694","9,623,549 "
Greece,"1,240,862","+30,009","20,849 ",+59,"1,017,087","+3,725","202,926",620,"47,750,471","10,346,665 "
Jordan,"1,064,277",+872,"12,684 ",+31,"1,020,785","+1,889","30,808",874,"13,575,729","10,355,000 "
Kazakhstan,"988,313",+447,"13,012 ",,"960,773",+562,"14,528",528,"11,575,012","19,113,391 "
Cuba,"966,473",+469,"8,323  ",+1,"956,620",+205,"1,530",19,"11,693,813","11,316,244 "
Morocco,"965,420","+2,328","14,851 ",+2,"941,008",+815,"9,561",103,"10,865,018","37,566,401 "
Georgia,"936,844","+2,103","13,860 ",+60,"896,868","+1,553","26,116",,"12,945,604","3,977,679 "
Slovakia,"844,393","+2,660","16,665 ",+30,"786,049","+3,984","41,679",454,"5,107,933","5,463,609 "
Nepal,"828,773",+342,"11,594 ",,"812,210",+252,"4,969",114,"4,864,362","29,921,968 "
Ireland,"811,840","+23,281","5,912 ",,"572,152","+4,159","233,776",85,"9,975,030","5,020,475 "
Denmark,"807,207","+19,836","3,272 ",+5,"605,795","+8,583","198,140",73,"107,367,684","5,822,797 "
UAE,"764,493","+2,556","2,165 ",+1,"745,963",+908,"16,365",,"111,815,127","10,069,535 "
Bulgaria,"748,184","+1,076","30,983 ",+28,"612,509",+114,"104,692",449,"7,457,776","6,869,959 "
Lebanon,"731,288","+3,358","9,136 ",+17,"659,448",,"62,704",186,"4,795,578","6,779,585 "
Tunisia,"727,843","+1,137","25,576 ",+7,"696,486",+171,"5,781",70,"3,385,654","12,004,026 "
Croatia,"720,538","+5,293","12,571 ",+33,"678,072","+2,922","29,895",226,"3,771,640","4,067,281 "
Belarus,"700,421","+1,311","5,594 ",+16,"693,860","+1,578",967,,"11,062,178","9,444,660 "
S. Korea,"635,253","+4,415","5,625 ",+62,"517,909","+3,931","111,719","1,049","15,804,065","51,335,374 "
