Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
USA,"56,142,175",,"847,408 ",,"41,543,060",,"13,751,707","18,609","813,825,574","333,918,903 "
India,"34,922,882",,"481,893 ",,"34,295,407","+10,846","145,582","8,944","680,950,476","1,400,383,713 "
Brazil,"22,293,228",,"619,171 ",,"21,567,845",,"106,212","8,318","63,776,166","214,829,399 "
UK,"13,235,401",,"148,851 ",,"10,410,273",,"2,676,277",868,"404,382,130","68,421,816 "
Russia,"10,554,309","+16,343","311,353 ",+835,"9,548,076","+24,037","694,880","2,300","241,500,000","146,028,505 "
France,"10,250,358",,"123,942 ",,"8,146,786",,"1,979,630","3,333","188,795,159","65,490,561 "
Turkey,"9,552,801",,"82,635 ",,"9,108,798",,"361,368","1,128","119,425,506","85,702,128 "
Germany,"7,213,067","+4,277","112,897 ",+19,"6,478,600","+37,600","621,570","4,636","89,622,218","84,186,512 "
Italy,"6,328,076",,"137,646 ",,"5,119,893",,"1,070,537","1,319","141,547,196","60,328,203 "
Spain,"6,294,745",,"89,405 ",,"5,056,955",,"1,148,385","1,803","66,213,858","46,781,994 "
Iran,"6,198,590","+1,677","131,702 ",+22,"6,042,589","+1,692","24,299","2,624","42,281,617","85,607,376 "
Argentina,"5,694,930",,"117,204 ",,"5,336,023",,"241,703","1,102","28,228,028","45,818,746 "
Colombia,"5,181,173",,"130,026 ",,"4,977,885",,"73,262",342,"29,764,087","51,697,466 "
Indonesia,"4,263,433",+265,"144,102 ",+5,"4,114,801",+112,"4,530",,"63,829,597","277,867,812 "
Poland,"4,133,851","+6,422","97,601 ",+9,"3,670,066","+9,622","366,184","1,880","27,327,211","37,784,312 "
Mexico,"3,990,587","+1,671","299,544 ",+19,"3,312,233","+2,098","378,810","4,798","12,417,832","130,967,361 "
Ukraine,"3,676,342","+1,804","96,301 ",+114,"3,479,725","+2,537","100,316",177,"16,824,014","43,338,813 "
South Africa,"3,472,436",,"91,228 ",,"3,197,017",,"184,191",546,"21,286,849","60,431,627 "
Netherlands,"3,165,793",,"20,957 ",,"2,685,306",,"459,530",463,"21,107,399","17,191,846 "
Philippines,"2,855,819","+4,084","51,586  ",+16,"2,779,241",+497,"24,992",899,"25,217,292","111,771,200 "
Malaysia,"2,764,354",,"31,532 ",,"2,692,216",,"40,606",284,"41,368,765","32,988,729 "
Czechia,"2,483,762","+1,919","36,255 ",+20,"2,350,159",+54,"97,348",536,"47,008,760","10,738,837 "
Peru,"2,301,177",,"202,741 ",,N/A,N/A,N/A,882,"21,843,645","33,661,517 "
Canada,"2,254,663",,"30,369 ",,"1,894,330",,"329,964",455,"52,560,743","38,239,247 "
Thailand,"2,232,485","+2,927","21,738 ",+18,"2,177,633","+2,903","33,114",588,"17,270,775","70,063,176 "
Belgium,"2,105,343",,"28,331 ",,"1,737,727",,"339,285",537,"27,288,173","11,665,412 "
Iraq,"2,094,349",+252,"24,174 ",+7,"2,065,723",+289,"4,452",68,"16,855,469","41,576,667 "
Romania,"1,813,056","+1,756","58,814 ",+18,"1,741,871","+1,702","12,371",403,"17,158,825","19,044,782 "
Chile,"1,811,297",+995,"39,173 ",+11,"1,731,458","+2,014","40,666",511,"27,511,293","19,362,698 "
Vietnam,"1,778,976","+15,936","33,021 ",+190,"1,397,157","+24,461","348,798","6,427","75,170,635","98,654,178 "
Japan,"1,734,808",+516,"18,395 ",+2,"1,712,555",+191,"3,858",52,"29,397,074","125,894,511 "
Bangladesh,"1,587,140",+674,"28,081 ",+4,"1,549,771",+214,"9,288","1,349","11,545,812","167,153,867 "
Portugal,"1,424,016",,"18,990 ",,"1,201,704",,"203,322",148,"26,887,506","10,152,022 "
Israel,"1,399,630","+2,304","8,244 ",,"1,353,518",+649,"37,868",110,"39,193,299","9,326,000 "
Switzerland,"1,364,690","+6,883","12,334 ",+4,"1,045,028","+20,009","307,328",307,"14,429,302","8,749,707 "
Sweden,"1,314,784",,"15,271 ",,"1,198,979",,"100,534",106,"15,268,363","10,193,878 "
Serbia,"1,305,621","+2,765","12,787 ",+27,"1,266,685","+1,304","26,149",87,"7,275,299","8,684,471 "
Pakistan,"1,297,235",+708,"28,943 ",+2,"1,257,168",+144,"11,124",632,"23,514,774","227,329,335 "
Austria,"1,288,829","+3,319","13,759 ",+7,"1,240,740","+1,829","34,330",320,"124,304,551","9,083,608 "
Hungary,"1,262,280","+5,865","39,434 ",+248,"1,121,823","+10,147","101,023",318,"9,203,581","9,623,482 "
Greece,"1,258,495",,"20,910 ",,"1,023,452",,"214,133",626,"47,829,150","10,346,526 "
Jordan,"1,065,571",,"12,710 ",,"1,023,955",,"28,906",874,"13,605,243","10,355,277 "
Kazakhstan,"989,143",+373,"13,025 ",+5,"961,495",+282,"14,623",528,"11,575,012","19,114,005 "
Cuba,"966,942",,"8,324 ",,"956,792",,"1,826",19,"11,693,813","11,316,226 "
Morocco,"966,777",,"14,855 ",,"941,558",,"10,364",103,"10,874,879","37,567,596 "
Georgia,"938,583",+943,"13,942 ",+37,"902,948","+2,789","21,693",,"12,974,077","3,977,658 "
Slovakia,"845,937","+1,328","16,740 ",+39,"790,638","+1,188","38,559",453,"5,115,126","5,463,616 "
Ireland,"845,897","+16,986","5,912 ",,"583,182","+11,030","256,803",93,"9,975,030","5,020,626 "
Nepal,"829,277",+291,"11,598 ",+2,"812,674",+255,"5,005",114,"4,880,024","29,923,402 "
Denmark,"823,026","+8,269","3,292 ",+5,"624,069","+10,067","195,665",73,"107,804,737","5,822,852 "
UAE,"769,608","+2,515","2,169 ",+1,"747,715",+862,"19,724",,"112,616,075","10,069,862 "
Bulgaria,"749,540",,"31,027 ",,"613,028",,"105,485",450,"7,470,631","6,869,817 "
Lebanon,"732,733",,"9,154 ",,"659,448",,"64,131",186,"4,795,578","6,779,502 "
Tunisia,"728,260",,"25,586 ",,"696,548",,"6,126",70,"3,390,992","12,004,364 "
Croatia,"722,054","+1,103","12,653 ",+44,"683,889","+3,091","25,512",239,"3,778,223","4,067,212 "
Belarus,"701,699",+507,"5,624 ",+15,"695,154",+309,921,,"11,083,769","9,444,652 "
S. Korea,"642,207","+3,124","5,730 ",+36,"524,883","+3,921","111,594","1,049","15,804,065","51,335,494 "
Guatemala,"628,695",,"16,109 ",,"608,693",,"3,893",5,"3,281,949","18,412,977 "
Azerbaijan,"617,952",+273,"8,383 ",+8,"601,645",+576,"7,924",,"5,883,101","10,276,456 "
Bolivia,"611,031",,"19,722 ",,"530,750",,"60,559",220,"2,633,963","11,912,117 "
Sri Lanka,"587,935",,"15,019 ",,"560,949",,"11,967",,"5,726,599","21,548,157 "
Costa Rica,"570,556",,"7,353 ",,"560,709",,"2,494",45,"2,965,435","5,163,993 "
Saudi Arabia,"559,852","+1,746","8,881 ",+2,"542,754",+341,"8,217",69,"33,501,652","35,627,851 "
